"","Dyad","Intimacy Mean.di","Listening Mean.di","Listening Delta.di","Listening Product.di","Listening SquaresMean.di"
"48","301_6",1.271,0.542,0.4,17.01,0.333
"49","301_7",-1.312,-1.042,0.2,6.471,1.095
"50","301_8",2.354,1.208,2.6,21.31,3.15
"51","301_9",0.771,1.5,1.55,25.282,2.851
"52","301_10",-1.437,-1.042,1.6,5.841,1.725
"53","308_1",2.104,0.792,1.5,18.615,1.189
"54","308_2",-0.583,0.292,0.875,14.857,0.276
"55","308_3",-1.521,-1.083,0.625,6.173,1.271
"56","308_4",-1.521,-1.083,1.375,5.798,1.646
"57","308_5",-0.583,0.292,0.125,15.044,0.089
"58","308_6",2.104,0.792,0.5,19.115,0.689
"59","310_1",0.354,0.062,1.938,12.384,0.942
"60","310_2",0.042,0.312,1.188,14.857,0.45
"61","310_3",-0.396,-0.375,0.75,10.18,0.281
"62","310_4",-0.396,-0.375,1.875,9.441,1.02
"63","310_5",0.042,0.312,0.062,15.209,0.099
"64","310_6",0.354,0.062,0.688,13.204,0.122
"65","315_1",0.979,0.542,0.625,16.952,0.391
"66","315_2",-1.833,-1.646,2.188,2.574,3.905
"67","315_3",0.854,1.104,1.562,21.401,1.83
"68","315_4",0.854,1.104,1.938,21.073,2.158
"69","315_5",-1.833,-1.646,1.312,3.339,3.139
"70","315_6",0.979,0.542,0.25,17.034,0.309
"71","500_1",1.292,0.208,1.625,13.748,0.704
"72","500_2",-1.396,-0.854,0.312,7.447,0.754
"73","500_3",0.104,0.646,1.312,17.49,0.848
"74","500_4",0.104,0.646,1.562,17.311,1.027
"75","500_5",-1.396,-0.854,0.062,7.47,0.731
"76","500_6",1.292,0.208,1.25,14.018,0.434
"77","601_1",-0.292,-0.25,1.25,10.748,0.453
"78","601_2",0.271,0.312,0.812,15.045,0.263
"79","601_3",0.021,-0.062,2.062,11.362,1.067
"80","601_4",0.021,-0.062,0.562,12.347,0.083
"81","601_5",0.271,0.312,0.688,15.092,0.216
"82","601_6",-0.292,-0.25,1.375,10.666,0.535
"83","602_1",2.188,1.938,1.062,30.243,4.036
"84","602_2",-0.688,-1.062,0.812,6.211,1.294
"85","602_3",-1.5,-0.875,0.25,7.342,0.781
"86","602_4",-1.5,-0.875,0.125,7.354,0.77
"87","602_5",-0.688,-1.062,1.188,6.023,1.481
"88","602_6",2.188,1.938,0.938,30.306,3.974
"89","603_1",-0.229,0.25,0.55,14.651,0.138
"90","603_2",1.479,0.208,1.1,14.106,0.346
"91","603_3",0.104,-0.167,0.85,11.521,0.208
"92","603_4",-1.354,-0.292,0.8,10.703,0.245
"93","603_5",-0.896,-0.083,0.45,12.229,0.058
"94","603_6",-0.896,0.042,0.6,13.081,0.092
"95","603_7",2.021,-0.208,0.4,11.379,0.083
"96","603_8",0.437,-0.25,0.45,11.088,0.113
"97","603_9",-1.021,0.125,1.1,13.48,0.318
"98","603_10",0.354,0.375,0.7,15.579,0.263
"99","604_1",0.188,0.312,3.062,12.865,2.442
"100","604_2",0.062,0.188,2.062,13.187,1.099
"101","604_3",-0.25,-0.5,1,9.283,0.5
"102","604_4",-0.25,-0.5,1.125,9.216,0.566
"103","604_5",0.062,0.188,1.938,13.312,0.974
"104","604_6",0.188,0.312,0.938,14.99,0.317
"105","607_1",0.417,0.396,0.562,15.788,0.236
"106","607_2",-0.771,-0.604,0.812,8.735,0.53
"107","607_3",0.354,0.208,1.375,13.936,0.516
"108","607_4",0.354,0.208,0.25,14.393,0.059
