"","a.id","Hum_rel.AB","Creat_rel.AB","Contr_rel.AB","Safety_rel.AB","NonTalk_rel.AB","Shy_rel.AB","Hum_rel.BA","Creat_rel.BA","Contr_rel.BA","Safety_rel.BA","NonTalk_rel.BA","Shy_rel.BA"
"17","280:4",1.858,0.447,0.447,0.083,0.021,0.318,2.819,0.962,0.04,0.083,1.521,6.943
"18","291:1",0.322,1.039,0.376,0.103,0.474,5.005,0.962,0.141,0.22,1.509,2.599,0.38
"19","291:2",0.118,0.563,0.275,1.509,0.818,0.724,0.322,0.524,0.212,0.103,0.568,4.724
"20","291:3",0.493,0.1,0.283,0.876,1.349,2.099,0.353,1.069,0.439,0.314,2.224,1.099
"21","291:4",0.915,0.483,0.056,0.314,3.068,1.13,0.212,0.451,0.118,0.876,0.318,2.755
"22","292:1",1.813,0.39,0.668,0.246,0.724,3.318,0.766,0.882,0.543,1.371,0.349,0.318
"23","292:2",1.862,0.882,0.613,0.246,1.568,4.474,0.385,0.39,0.707,0.246,0.068,1.349
"24","292:3",0.385,0.583,0.145,1.301,0.349,1.818,1.862,0.583,1.301,0.457,0.724,3.818
"25","292:4",0.766,0.653,1.293,0.738,0.068,0.099,1.813,0.653,0.168,0.457,1.568,4.224
"26","304:1",0.004,0.498,0.025,0,1.172,1.786,0.098,1.045,0.087,0,1.047,0.536
"27","304:2",0.045,0.016,0.158,0,2.078,0.661,0.022,0.133,0.064,0,0.328,2.911
"28","304:3",0.098,0.928,0.126,0,0.578,3.068,0.004,0.381,0.22,0,0.328,0.943
"29","304:4",0.022,0.68,0.181,0,0.047,0.943,0.045,0.563,0.118,0,2.172,2.068
"30","305:1",0.013,0.401,0.188,0.004,0.068,3.646,0.091,0.073,1.938,0.098,0.193,0.396
"31","305:2",0.038,0.073,1.188,0.074,0.161,1.896,0.077,0.401,0.438,0.012,0.161,2.146
"32","305:3",0.036,0.032,1.688,0.074,0.193,1.271,0.021,0.196,0.438,0.012,0.068,2.021
"33","305:4",0.108,0.196,0.188,0.004,0.036,1.021,0.007,0.032,0.438,0.035,0.036,3.271
"34","334:1",0.412,1.045,0.079,2.814,1.624,1.286,0.436,4.209,0.173,0.283,0.813,0.411
